order,Questions / Comments of editors,Changes observed by editors,ID previous,ID new,Format version ID (when introduced),Field Name (de),Field Name (en),Element/Attribute Name,Technically Required,Occ.,Datatype,Original ILCD Format Definition (en),Definition (de),InData Definition (en),Further explanations (EN),InData compliance CP-2020,ECO Platform conformity,ÖKOBAUDAT conformity,Deviation to ILCD format definition (see FAQ),Extension of ILCD format,InData Compliance Construction Products CPEN2020,eDoc ID,Example of expected information in the field,EN15804+A2 mapping (chapter number),EN15804+A2 required information,ISO 22057 mapping (GUID),ISO 22057 required information,ISO 21930 mapping,ISO 21930 required information,Indent,Path
1.0,,,,A,v1.0,Prozessdatensatz,Process data set,processDataSet,m,"[1,1]",,"Data set for unit processes, partly terminated systems, and LCI results. May contain LCIA results as well.",Datensatz für die Dokumentation von EPD-Daten,Data set for the documentation of EPD data.,,,,,,,,1,,,,,,,,0,processDataSet
2.0,,,new,A.1.1,v1.0,Version,Version,@version,m,,SchemaVersion,"Indicates, which version of the ILCD format is used",ILCD-Formatversion,~,,m,,,,,,1-a,,,,,,,,2,processDataSet/@version
3.0,,,new,A.1.2,v1.2,EPD-Format-Version,EPD format version,@epd2:epd-version,m,,SchemaVersion,,"Formatversion der EPD-Erweiterungen. ""1.2"" für ILCD+EPD 1.2.","Format version of the EPD extensions. ""1.2"" for ILCD+EPD 1.2.",,m,,,,,,,,,,,,,,2,processDataSet/@epd2:epd-version
4.0,,,new,A.1.3,v1.0,Orte,Location,@locations,m,,String,contains reference to used location table for this dataset,Referenz auf Dokument mit Ortscodes,~,,m,,,,,,1-b,,,,,,,,1,processDataSet/@locations
5.0,,,new,A.1.4,v1.0,Nur Metadaten,Meta data only,@metaDataOnly,o,,boolean,Indicates whether this data set contains only meta data (no exchanges section).,"Gibt an, ob dieser Datensatz nur Metadaten enthält (kein Abschnitt Exchanges und keine LCIAResults)",~,,o,,,,,,1-c,,,,,,,,2,processDataSet/@locations/@metaDataOnly
6.0,,,A,B,v1.0,Datensatzinformation,Process information,processInformation,m,"[1,1]",,"Corresponds to the ISO/TS 14048 section ""Process description"". It comprises the following six sub-sections: 1) ""Data set information"" for data set identification and overarching information items, 2) ""Quantitative reference"", 3) ""Time"", 4) ""Geography"", 5) ""Technology"" and 6) ""Mathematical relations"".",Datensatzinformation,~,,,,,,,,1-1,,,,,,,,0,processInformation
7.0,,,A1,B.1,v1.0,Kerninformationen des Datensatzes,Key Data Set Information,dataSetInformation,m,"[1,1]",,"General data set information. Section covers all single fields in the ISO/TS 14048 ""Process description"", which are not part of the other sub-sections. In ISO/TS 14048 no own sub-section is foreseen for these entries.",Allgemeine Informationen zum Datensatz,~,,,,,,,,1-1-2,,,,,,,,1,processInformation/dataSetInformation
8.0,,,A1.1,B.1.1,v1.0,UUID des Datensatzes,UUID of Process data set,UUID,m,"[1,1]",UUID,"Automatically generated Universally Unique Identifier of this data set. Together with the ""Data set version"", the UUID uniquely identifies each data set.","UUID des Datensatzes. Zusammen mit der Versionsnummer in ""Datensatzversion"" wird der Datensatz damit eindeutig identifizert",~,,m,,,,,For further details see FAQ.,1-1-2-1,fe8fd0db-94d7-44a1-ba14- c32d43b1b3a3,,,,,,,2,processInformation/dataSetInformation/UUID
9.0,,,new,B.1.2,v1.0,Name,Name,name,r,"[0,1]",,General descriptive and specifying name of the process.,Beschreibender spezifischer Name des Produkts/Systems,General descriptive and specifying name of the product or system.,,m,EN 15804+A2: chapter 7.1 c,EN 15804+A2: chapter 7.1 c,,,,1-1-2-2,Cement (CEM II 32.5),7.1 c,Identification of the construction product name,,,,,2,processInformation/dataSetInformation/name
10.0,,,A1.2,B.1.2.1,v1.0,Name,Name,baseName,r,"[1,1]",StringMultiLang,General descriptive name of the process and/or its main good(s) or service(s) and/or it's level of processing.,Allgemeiner Name des Produkts oder Systems,~,,o,,,,,,1-1-2-2-1,,,,2I2MqAa5X7w8hZC7cDyzAR,,,,2,processInformation/dataSetInformation/baseName
